Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
250,Entry long,2026-05-01 13:15,L,4591.48,22.29,102344.0892,185.69,0.18,1530.12,1.49,-116.89,-0.11,106313.23,106.31
251,Exit short,2026-05-04 01:15,HTF runner,4600.73,22.42,103148.3666,-20.63,-0.02,0,0.00,0,0.00,106282.28,106.28
251,Entry short,2026-05-04 01:15,S,4600.73,22.42,103148.3666,-20.63,-0.02,0,0.00,0,0.00,106282.28,106.28
252,Exit short,2026-05-04 10:00,2R partial,4539.406,22.42,103148.3666,1354.39,1.31,1364.57,1.32,-416,-0.40,107646.98,107.65
252,Entry short,2026-05-04 01:15,S,4600.73,22.42,103148.3666,1354.39,1.31,1364.57,1.32,-416,-0.40,107646.98,107.65
253,Exit long,2026-05-05 22:45,2R partial,4569.339,22.81,103803.1777,402.64,0.39,413.06,0.40,-111.09,-0.11,108039.25,108.04
253,Entry long,2026-05-05 22:15,L,4550.775,22.81,103803.1777,402.64,0.39,413.06,0.40,-111.09,-0.11,108039.25,108.04
254,Exit long,2026-05-06 08:45,HTF runner,4695.561,22.81,103803.1777,3281.48,3.16,3292.19,3.17,-111.09,-0.11,111331.11,111.33
254,Entry long,2026-05-05 22:15,L,4550.775,22.81,103803.1777,3281.48,3.16,3292.19,3.17,-111.09,-0.11,111331.11,111.33
255,Exit short,2026-05-10 22:15,HTF runner,4682.912,22.54,105656.9262,82.97,0.08,93.52,0.09,-10.57,-0.01,111403.52,111.40
255,Entry short,2026-05-10 22:15,S,4687.53,22.54,105656.9262,82.97,0.08,93.52,0.09,-10.57,-0.01,111403.52,111.40
256,Exit short,2026-05-11 09:15,L,4667.555,22.53,105610.0509,428.96,0.41,878.02,0.83,-416.78,-0.39,111843.03,111.84
256,Entry short,2026-05-10 22:15,S,4687.53,22.53,105610.0509,428.96,0.41,878.02,0.83,-416.78,-0.39,111843.03,111.84
257,Exit long,2026-05-11 09:15,2R partial,4662.64,22.69,105906.823,-132.69,-0.13,0,0.00,-122.11,-0.12,111699.75,111.70
257,Entry long,2026-05-11 09:15,L,4667.555,22.69,105906.823,-132.69,-0.13,0,0.00,-122.11,-0.12,111699.75,111.70
