Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
88,Entry short,2026-02-05 02:15,S,4915.745,0.52,2556.1874,65.89,2.58,135.21,5.29,-14.81,-0.58,1599.83,1.60
89,Exit long,2026-02-06 06:15,S,4866.745,1.06,5075.3383,82.39,1.62,121.76,2.40,-5.86,-0.12,1682.22,1.68
89,Entry long,2026-02-06 02:15,L,4788.055,1.06,5075.3383,82.39,1.62,121.76,2.40,-5.86,-0.12,1682.22,1.68
90,Exit short,2026-02-06 10:15,L,4872.3,1.04,5061.4148,-6.79,-0.13,43.22,0.85,-16.72,-0.33,1675.43,1.68
90,Entry short,2026-02-06 06:15,S,4866.745,1.04,5061.4148,-6.79,-0.13,43.22,0.85,-16.72,-0.33,1675.43,1.68
91,Exit long,2026-02-08 23:00,2R partial,4989.93,0.52,2533.596,60.65,2.39,60.91,2.40,-10.79,-0.43,1735.83,1.74
91,Entry long,2026-02-06 10:15,L,4872.3,0.52,2533.596,60.65,2.39,60.91,2.40,-10.79,-0.43,1735.83,1.74
92,Exit long,2026-02-08 23:00,HTF runner,4990.12,0.52,2533.596,60.75,2.40,61.01,2.41,-10.79,-0.43,1796.84,1.80
92,Entry long,2026-02-06 10:15,L,4872.3,0.52,2533.596,60.75,2.40,61.01,2.41,-10.79,-0.43,1796.84,1.80
93,Exit short,2026-02-12 16:00,2R partial,5029.485,0.5,2532.5625,17.32,0.68,17.57,0.69,-5.13,-0.20,1813.9,1.81
93,Entry short,2026-02-12 14:15,S,5065.125,0.5,2532.5625,17.32,0.68,17.57,0.69,-5.13,-0.20,1813.9,1.81
94,Exit short,2026-02-13 14:15,L,4998.89,0.5,2532.5625,32.61,1.29,93.06,3.67,-5.13,-0.20,1846.77,1.85
94,Entry short,2026-02-12 14:15,S,5065.125,0.5,2532.5625,32.61,1.29,93.06,3.67,-5.13,-0.20,1846.77,1.85
95,Exit long,2026-02-16 02:15,S,5022.475,1.01,5048.8789,22.81,0.45,47.56,0.94,-35.52,-0.70,1869.58,1.87
95,Entry long,2026-02-13 14:15,L,4998.89,1.01,5048.8789,22.81,0.45,47.56,0.94,-35.52,-0.70,1869.58,1.87
96,Exit short,2026-02-16 05:00,2R partial,4969.823,0.5,2511.2375,25.83,1.03,26.07,1.04,-2.2,-0.09,1895.15,1.90
96,Entry short,2026-02-16 02:15,S,5022.475,0.5,2511.2375,25.83,1.03,26.07,1.04,-2.2,-0.09,1895.15,1.90
97,Exit short,2026-02-16 06:15,L,4990.505,0.51,2561.46225,15.79,0.62,29.12,1.14,-2.25,-0.09,1911.2,1.91
